census_year,location,trading_name,business_address,industry_description,longitude,latitude
2022,Southbank,Terumo Australia Pty Limited,Part Level 2 100 Dorcas Street SOUTHBANK VIC 3006,Professional and Scientific Goods Wholesaling,144.9662259,-37.83069486
2016,Southbank,Recruitment Advisory Services Pty Ltd,"Part Level 2, 51-65 Clarke Street SOUTHBANK 3006",Employment Placement and Recruitment Services,144.959736,-37.82731887
2022,Southbank,Jobs Australia Limited,Part Level 4 100 Dorcas Street SOUTHBANK VIC 3006,Employment Placement and Recruitment Services,144.9662259,-37.83069486
2016,Southbank,Business Risks International Pty Limited,"Part Ground , 51-65 Clarke Street SOUTHBANK 3006",Investigation and Security Services,144.959736,-37.82731887
2022,Southbank,Radware Australia Pty Ltd,Part Level 2 100 Dorcas Street SOUTHBANK VIC 3006,Computer System Design and Related Services,144.9662259,-37.83069486
2016,Southbank,Race Components Pty Ltd,"Ground , 18-24 Moray Street SOUTHBANK 3006",Motor Vehicle Parts Retailing,144.9602021,-37.82675723
2022,Southbank,Vacant,Part Level 2 100 Dorcas Street SOUTHBANK VIC 3006,Vacant Space,144.9662259,-37.83069486
2016,Southbank,Keep Left Public Relations Pty Ltd,"Part Ground , 42 Moray Street SOUTHBANK 3006",Management Advice and Other Consulting Services,144.9604232,-37.82754932
2022,Southbank,Estee Lauder,Part Level 1 100 Dorcas Street SOUTHBANK VIC 3006,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9662259,-37.83069486
2016,Southbank,Great British Apparel Pty Ltd,"Part Level 1, 42 Moray Street SOUTHBANK 3006",Clothing and Footwear Wholesaling,144.9604232,-37.82754932
2022,Southbank,Efektiv Pty Ltd,Part Level 1 95 Coventry Street SOUTHBANK VIC 3006,Other Auxiliary Finance and Investment Services,144.9662259,-37.83069486
2016,Southbank,The Brackenbury Group Pty Ltd,"Part Level 1, 42 Moray Street SOUTHBANK 3006",Other Auxiliary Finance and Investment Services,144.9604232,-37.82754932
2022,Southbank,Electricity Substation,Basement 95 Coventry Street SOUTHBANK VIC 3006,Electricity Transmission,144.9662259,-37.83069486
2016,Southbank,360 South,11 Moray Street SOUTHBANK 3006,Computer System Design and Related Services,144.9608563,-37.82685315
2022,Southbank,Intrec Management Pty Ltd,Part Level 2 95 Coventry Street SOUTHBANK VIC 3006,Other Specialised Design Services,144.9662259,-37.83069486
2016,Southbank,Vacant,"Gnd & Flr1 , 21 Moray Street SOUTHBANK 3006",Vacant Space,144.9611461,-37.82729006
2022,Southbank,Vacant,Level 4 99 Coventry Street SOUTHBANK VIC 3006,Vacant Space,144.9662259,-37.83069486
2016,Southbank,Vacant,127-129 Kavanagh Street SOUTHBANK 3006,Vacant Space,144.9620381,-37.82660157
2022,Southbank,Office Choice Limited,Part Level 2 99 Coventry Street SOUTHBANK VIC 3006,Stationery Goods Retailing,144.9662259,-37.83069486
2016,Southbank,Donor Tissue Bank of Victoria,Part 57-83 Kavanagh Street SOUTHBANK 3006,Scientific Testing and Analysis Services,144.9647989,-37.82469841
2022,Southbank,Vacant,Part Level 1 99 Coventry Street SOUTHBANK VIC 3006,Vacant Space,144.9662259,-37.83069486
2016,Southbank,State Coroner's Office & Court,Part 57-83 Kavanagh Street SOUTHBANK 3006,Justice,144.9647989,-37.82469841
2022,Southbank,Elevated Accounting,Part Ground 99 Coventry Street SOUTHBANK VIC 3006,Accounting Services,144.9662259,-37.83069486
2016,Southbank,Australian Broadcasting Corporation,Part 120-130 Southbank Boulevard SOUTHBANK 3006,Free-to-Air Television Broadcasting,144.9665592,-37.82381854
2022,Southbank,BESIX Watpac,Part Level 1 111 Coventry Street SOUTHBANK VIC 3006,Non-Residential Building Construction,144.9662259,-37.83069486
2016,Southbank,Melbourne Symphony Orchestra,Part 120-130 Southbank Boulevard SOUTHBANK 3006,Performing Arts Venue Operation,144.9665592,-37.82381854
2022,Southbank,Vacant,Part Level 1 111 Coventry Street SOUTHBANK VIC 3006,Vacant Space,144.9662259,-37.83069486
2016,Southbank,Lissajous,"Part Level 2, 120-130 Southbank Boulevard SOUTHBANK 3006",Takeaway Food Services,144.9665592,-37.82381854
2022,Southbank,Sports Entertainment Network (SEN),Ground & Level 5 111 Coventry Street SOUTHBANK VIC 3006,Free-to-Air Television Broadcasting,144.9662259,-37.83069486
2016,Southbank,Vacant,"Suite 5, 152 Sturt Street SOUTHBANK 3006",Vacant Space,144.966081,-37.82540029
2022,Southbank,McMullan Solicitors,Part Level 4 111 Coventry Street SOUTHBANK VIC 3006,Legal Services,144.9662259,-37.83069486
2016,Southbank,Vacant,"Shop 4, 165-169 Kings Way SOUTHBANK 3006",Vacant Space,144.9638378,-37.82873018
2022,Southbank,Bevilles Jewellers,Part Level 2 111 Coventry Street SOUTHBANK VIC 3006,Jewellery and Watch Wholesaling,144.9662259,-37.83069486
2016,Southbank,Kebab Republic,"Shop 2, 165-169 Kings Way SOUTHBANK 3006",Takeaway Food Services,144.9638378,-37.82873018
2022,Southbank,Property Shell,68A Dorcas Street SOUTHBANK VIC 3006,Software Publishing,144.9674665,-37.83063269
2016,Southbank,GM Cabs Southbank,"Shop 1, 153-169 Kings Way SOUTHBANK 3006",Taxi and Other Road Transport,144.9638378,-37.82873018
2022,Southbank,KDA OCM Pty Ltd,"Suite 2401, Level 24 70 Dorcas Street SOUTHBANK VIC 3006",Residential Property Operators,144.9674665,-37.83063269
2016,Southbank,Hungry Jack's,"Shop 3, 165 Kings Way SOUTHBANK 3006",Cafes and Restaurants,144.9638378,-37.82873018
2022,Southbank,Vacant,68B Dorcas Street SOUTHBANK VIC 3006,Vacant Space,144.9674665,-37.83063269
2016,Southbank,Vacant,"Suite 5, Ground , 117 Sturt Street SOUTHBANK 3006",Vacant Space,144.9669686,-37.82712911
2022,Southbank,Human Beans,147 Dodds Street SOUTHBANK VIC 3006,Cafes and Restaurants,144.9674665,-37.83063269
2016,Southbank,Citipower Pty,"Substation , 78 Sturt Street SOUTHBANK 3006",Electricity Transmission,144.9669686,-37.82712911
2022,Southbank,MACARTHUR NATIONAL LTD,"Suite 2402, Level 24 70 Dorcas Street SOUTHBANK VIC 3006",Corporate Head Office Management Services,144.9674665,-37.83063269
2016,Southbank,Malthouse Theatre (Storage),"Suite 6, Ground , 117 Sturt Street SOUTHBANK 3006",Performing Arts Operation,144.9669686,-37.82712911
2022,Southbank,Bluestone OCM Pty Ltd,Part Level 3 312 St Kilda Road SOUTHBANK VIC 3006,Non-Residential Property Operators,144.9706852,-37.82909022
2016,Southbank,Malthouse Theatre,113 Sturt Street SOUTHBANK 3006,Performing Arts Venue Operation,144.9669686,-37.82712911
2022,Southbank,Hca Healthcare Australia,Part Level 3 312 St Kilda Road SOUTHBANK VIC 3006,Other Health Care Services n.e.c.,144.9706852,-37.82909022
2016,Southbank,Hayball Pty Ltd,"Suite 2, Level 1, 135 Sturt Street SOUTHBANK 3006",Architectural Services,144.9668741,-37.82744146
2022,Southbank,Urban Property Australia Pty Ltd,Part Ground 312 St Kilda Road SOUTHBANK VIC 3006,Management Advice and Other Consulting Services,144.9706852,-37.82909022
2016,Southbank,HLS Superannuation Fund Pty Ltd,"Suite 4, Part Level 1, 135 Sturt Street SOUTHBANK 3006",Other Auxiliary Finance and Investment Services,144.9668741,-37.82744146
2022,Southbank,Vacant,Part LwrGround 312 St Kilda Road SOUTHBANK VIC 3006,Vacant Space,144.9706852,-37.82909022
2016,Southbank,Landmark Worldwide Pty Limited,"Part Gnd & Flr1 , 151 Sturt Street SOUTHBANK 3006",Technical and Vocational Education and Training,144.9667952,-37.82770253
2022,Southbank,Duo Projects,Part Ground 312 St Kilda Road SOUTHBANK VIC 3006,Other Residential Building Construction,144.9706852,-37.82909022
2016,Southbank,Vacant,"Shop 1, Part 153-159 Sturt Street SOUTHBANK 3006",Vacant Space,144.9667287,-37.82792248
2022,Southbank,IGA Express,Ground 320-322 St Kilda Road SOUTHBANK VIC 3006,Supermarket and Grocery Stores,144.9706865,-37.82941499
2016,Southbank,Vacant,"Shop 8, 153-159 Sturt Street SOUTHBANK 3006",Vacant Space,144.9667287,-37.82792248
2022,Southbank,Veolia,Level 5 324 St Kilda Road SOUTHBANK VIC 3006,Engineering Design and Engineering Consulting Services,144.9706893,-37.82963551
2016,Southbank,Vacant,"Shop 1, Part 153 Sturt Street SOUTHBANK 3006",Vacant Space,144.9667287,-37.82792248
2022,Southbank,Wesfarmers,Ground & Level 7 324 St Kilda Road SOUTHBANK VIC 3006,General Insurance,144.9706893,-37.82963551
2016,Southbank,Vacant,"Shop 4, 153 Sturt Street SOUTHBANK 3006",Vacant Space,144.9667287,-37.82792248
2022,Southbank,Holmesglen Institute Of Tafe,"Ground, Level 1-2, 4 & Part Level 5, 6 332 St Kilda Road SOUTHBANK VIC 3006",Technical and Vocational Education and Training,144.970654,-37.82987354
2016,Southbank,Vacant,"Shop 7, 153-159 Sturt Street SOUTHBANK 3006",Vacant Space,144.9667287,-37.82792248
2022,Southbank,Vacant,Part Level 3 332 St Kilda Road SOUTHBANK VIC 3006,Vacant Space,144.970654,-37.82987354
2016,Southbank,Citipower Pty,"Substation , 4 Wells Street SOUTHBANK 3006",Electricity Transmission,144.9679892,-37.82792586
2022,Southbank,Ineight Pty Ltd,Part Level 3 332 St Kilda Road SOUTHBANK VIC 3006,Other Construction Services n.e.c.,144.970654,-37.82987354
2016,Southbank,8 On Miles,"Ground , 8 Miles Street SOUTHBANK 3006",Cafes and Restaurants,144.9680307,-37.82843575
2022,Southbank,Dimension Data,Level 2-4 & 6-7 10-16 Dorcas Street SOUTHBANK VIC 3006,Other Information Services,144.969924,-37.82991835
2016,Southbank,Miles &  Dodd Street Park,Miles Street SOUTHBANK 3006,Nature Reserves and Conservation Parks Operation,144.967416,-37.82869655
2022,Southbank,Dimension 5 Pty Ltd,Level 1 10-16 Dorcas Street SOUTHBANK VIC 3006,Office Administrative Services,144.969924,-37.82991835
2016,Southbank,Electricity Substation,"Substation , 187 Sturt Street SOUTHBANK 3006",Electricity Transmission,144.9662728,-37.82867604
2022,Southbank,Humbaba,20 Dorcas Street SOUTHBANK VIC 3006,Cafes and Restaurants,144.9695712,-37.83002099
2016,Southbank,Optotech Pty Ltd,"Part Level 1, 175 Sturt Street SOUTHBANK 3006",Engineering Design and Engineering Consulting Services,144.9662728,-37.82867604
2022,Southbank,Vacant,"Unit 114, Level 1 23 Coventry Street SOUTHBANK VIC 3006",Vacant Space,144.9702479,-37.82923357
2016,Southbank,Fyfe Pty Ltd,"Part Level 1, 175 Sturt Street SOUTHBANK 3006","Other Professional, Scientific and Technical Services n.e.c.",144.9662728,-37.82867604
2022,Southbank,Vacant,27 Coventry Street SOUTHBANK VIC 3006,Vacant Space,144.9700371,-37.82937789
2016,Southbank,Thomson Perrett,"Part Ground , 175 Sturt Street SOUTHBANK 3006",Landscape Construction Services,144.9662728,-37.82867604
2022,Southbank,Beevo Pty Ltd,Front Level 2 31 Coventry Street SOUTHBANK VIC 3006,Employment Placement and Recruitment Services,144.9697962,-37.82944688
2016,Southbank,Sustainability House,"Part Level 1, 175 Sturt Street SOUTHBANK 3006",Other Specialised Design Services,144.9662728,-37.82867604
2022,Southbank,Queenie's Restaurant & Cafe,41 Coventry Street SOUTHBANK VIC 3006,Cafes and Restaurants,144.9693922,-37.82956559
2016,Southbank,Downstaris Bistro & Lounge,215-217 Sturt Street SOUTHBANK 3006,Cafes and Restaurants,144.9661931,-37.82969428
2022,Southbank,Scoogle Optometrist,131 Wells Street SOUTHBANK VIC 3006,Optometry and Optical Dispensing,144.9693922,-37.82956559
2016,Southbank,Wipro Australia Pty Ltd,"Level 4, 80 Dorcas Street SOUTHBANK 3006",Wired Telecommunications Network Operation,144.9662354,-37.83069617
2022,Southbank,HOW GROUP PTY LTD,"Suite 2, Ground 250 St Kilda Road SOUTHBANK VIC 3006",Furniture Retailing,144.9700975,-37.82561837
2016,Southbank,Schepisi Communications,"Part Level 1, 100 Dorcas Street SOUTHBANK 3006",Other Telecommunications Services,144.9662354,-37.83069617
2022,Southbank,Vacant,"Building 866, 170 Southbank Boulevard SOUTHBANK VIC 3006",Vacant Space,144.9694138,-37.82453473
2016,Southbank,Asian Pacific Group Pty Ltd,"Part Level 4, 100 Dorcas Street SOUTHBANK 3006",Non-Residential Building Construction,144.9662354,-37.83069617
2022,Southbank,Lionel Gell Lounge,Part Building 872 Grant Street Theatre 234 St Kilda Road SOUTHBANK VIC 3006,Cafes and Restaurants,144.9694138,-37.82453473
2016,Southbank,Insight Systems International Pty Ltd,"Part Level 1, 100 Dorcas Street SOUTHBANK 3006",Computer System Design and Related Services,144.9662354,-37.83069617
2022,Southbank,Faculty Of The VCA & Music (Bld 860-868+871-873),"Building 864, Performing Arts Dance 234 St Kilda Road SOUTHBANK VIC 3006",Higher Education,144.9694138,-37.82453473
2016,Southbank,Estee Lauder,"Part Level 1, 100 Dorcas Street SOUTHBANK 3006","Pharmaceutical, Cosmetic and Toiletry Goods Retailing",144.9662354,-37.83069617
2022,Southbank,Teatro,Part 100 St Kilda Road SOUTHBANK VIC 3006,Cafes and Restaurants,144.9681703,-37.82094204
2016,Southbank,Spectra Training,"Part Ground , 100 Dorcas Street SOUTHBANK 3006",Technical and Vocational Education and Training,144.9662354,-37.83069617
2022,Southbank,NGV International,180 St Kilda Road SOUTHBANK VIC 3006,Museum Operation,144.9686269,-37.82273793
2016,Southbank,MDA National,"Part Level 3, 100 Dorcas Street SOUTHBANK 3006",General Insurance,144.9662354,-37.83069617
2022,Southbank,Melba Restaurant,Part Podium 1 Southgate Avenue SOUTHBANK VIC 3006,Cafes and Restaurants,144.9663031,-37.82071821
2016,Southbank,The Net-Effects Group Pty Ltd,"Part Level 3, 100 Dorcas Street SOUTHBANK 3006",Computer System Design and Related Services,144.9662354,-37.83069617
2022,Southbank,Aria Bar & Lounge,Part Podium 1 Southgate Avenue SOUTHBANK VIC 3006,"Pubs, Taverns and Bars",144.9663031,-37.82071821
2016,Southbank,Tyco Fire Protection Products,"Part Level 3, 95 Coventry Street SOUTHBANK 3006",Fire and Security Alarm Installation Services,144.9662354,-37.83069617
2022,Southbank,Lutheran Church Of Aust Trustees Of St Johns,St Johns Lutheran Church Southgate 16-24 City Road SOUTHBANK VIC 3006,Religious Services,144.9663031,-37.82071821
2016,Southbank,Substantia Property Group,"Part Ground , 95 Coventry Street SOUTHBANK 3006",Real Estate Services,144.9662354,-37.83069617
2022,Southbank,Pagemasters Pty Ltd,Part Level 8 40 City Road SOUTHBANK VIC 3006,Advertising Services,144.9663031,-37.82071821
2016,Southbank,PFP (Aust) Pty Ltd,"Part Level 2, 95 Coventry Street SOUTHBANK 3006",Engineering Design and Engineering Consulting Services,144.9662354,-37.83069617
2022,Southbank,Pitt & Sherry,Part Level 1 40 City Road SOUTHBANK VIC 3006,Engineering Design and Engineering Consulting Services,144.9663031,-37.82071821
2016,Southbank,Exponential,"Part Level 1, 95 Coventry Street SOUTHBANK 3006",Advertising Services,144.9662354,-37.83069617
2022,Southbank,Vacant,Part Level 20 40 City Road SOUTHBANK VIC 3006,Vacant Space,144.9663031,-37.82071821
2016,Southbank,Nova Group,"Part Level 2, 95 Coventry Street SOUTHBANK 3006",Engineering Design and Engineering Consulting Services,144.9662354,-37.83069617
2022,Southbank,Dairy Australia Limited,Level 2 & Part Level 3 40 City Road SOUTHBANK VIC 3006,Dairy Produce Wholesaling,144.9663031,-37.82071821
2016,Southbank,Clean Energy Enterprises,"Part Ground 0, 99-0 Coventry Street SOUTHBANK 3006",Call Centre Operation,144.9662354,-37.83069617
2022,Southbank,News Corp Australia,"Podium, Pt Gnd, Level 7, 9 ,11-12 & Part Level 10 40 City Road SOUTHBANK VIC 3006",Newspaper Publishing,144.9663031,-37.82071821
2016,Southbank,Pentarch,"Part Level 1, 99 Coventry Street SOUTHBANK 3006",Forestry Support Services,144.9662354,-37.83069617
2022,Southbank,Vacant,Part Level 1 40 City Road SOUTHBANK VIC 3006,Vacant Space,144.9663031,-37.82071821
2016,Southbank,Vacant,"Part Level 1, 99 Coventry Street SOUTHBANK 3006",Vacant Space,144.9662354,-37.83069617
2022,Southbank,Vacant,Part Level 12 60 City Road SOUTHBANK VIC 3006,Vacant Space,144.9663031,-37.82071821
2016,Southbank,SCT Logistics,"Ground , 99 Coventry Street SOUTHBANK 3006",Rail Freight Transport,144.9662354,-37.83069617
2022,Southbank,Stellar Asia Pacific Pty Ltd,Part Level 17 60 City Road SOUTHBANK VIC 3006,Call Centre Operation,144.9663031,-37.82071821
2016,Southbank,Straight Arrows Inc,"Part Ground , 111 Coventry Street SOUTHBANK 3006",Other Health Care Services n.e.c.,144.9662354,-37.83069617
2022,Southbank,Plan Australia,Level 18 60 City Road SOUTHBANK VIC 3006,Other Social Assistance Services,144.9663031,-37.82071821
2016,Southbank,The Careers Group,"Part Level 2, 111-0 Coventry Street SOUTHBANK 3006",Higher Education,144.9662354,-37.83069617
2022,Southbank,Celgene Pty Limited,Level 15 60 City Road SOUTHBANK VIC 3006,Human Pharmaceutical and Medicinal Product Manufacturing,144.9663031,-37.82071821
2016,Southbank,St John of God Health Care Melbourne Office,"Part Ground , 111 Coventry Street SOUTHBANK 3006",Other Health Care Services n.e.c.,144.9662354,-37.83069617
2022,Southbank,Seaway Agencies Pty Ltd,Part Level 8 60 City Road SOUTHBANK VIC 3006,Water Freight Transport,144.9663031,-37.82071821
2016,Southbank,People Living With Hiv/Aids Victoria Inc / Living Positive Victoria,"Part Ground , 111 Coventry Street SOUTHBANK 3006",Other Health Care Services n.e.c.,144.9662354,-37.83069617
2022,Southbank,Snow Brand (Australia) Pty Ltd,Part Level 10 60 City Road SOUTHBANK VIC 3006,Cheese and Other Dairy Product Manufacturing,144.9663031,-37.82071821
2016,Southbank,Relate Empower Deliver,"Part Level 4, 111 Coventry Street SOUTHBANK 3006",Other Auxiliary Finance and Investment Services,144.9662354,-37.83069617
